,1,2-3,4-10,11-25,CM,MC-WD-DNF,
Ryuko Tokimatsu,0,0,0,0,1,4,
Andy Sullivan,0,0,1,0,0.5,5,
Danny Willett,0,0,1,3,0,9,
Kiradech Aphibarnrat,0,0,3,3,8.5,5,
Chris Wood,0,0,0,1,2.5,3,
Zach J Johnson,0,0,0,0,0,2,
Craig Hocknull,0,0,0,0,0,2,
Alexander Bjork,0,0,0,2,1.5,4,
Ryan Vermeer,0,0,0,0,0,2,
Paul Dunne,0,0,0.5,0,5.5,4.5,
Y.E. Yang,0,0,0,0,0,2,
Matt Dobyns,0,0,0,0,0,2,
Daniel Balin,0,0,0,0,0,2,
Jason Schmuhl,0,0,0,0,0,2,
Omar Uresti,0,0,0,0,0,5.5,
Matthew Borchert,0,0,0,0,0,2,
Shawn Warren,0,0,0,0,0,2,
Rich Berberian, Jr.,0,0,0,0,0,2
Craig Bowden,0,0,0,0,0,2,
Brian Smock,0,0,0,0,0,2,
David Muttitt,0,0,0,0,0,2,
Marty Jertson,0,0,0,0,0,2,
Michael Block,0,0,0,0,0,4,
Johan Kok,0,0,0,0,0,3,
Jaysen Hansen,0,0,0,0,0,2,
Jorge Campillo,0,1,0,0,2.5,4.5,
Yusaku Miyazato,0,0,0,1,5.5,5.5,
Bob Sowards,0,0,0,0,0,2,
Haotong Li,0,0,0,3,10,4.5,
Wade Ormsby,0,0,0,0,3.5,1.5,
Kodai Ichihara,0,0,0,0,1,2,
Jaco Ahlers,0,0,0,0,1,0,
Ryan Yip,0,0,0,1,0,0,
George Cunningham,0,0,0,0,1,0,
Roger Sloan,0,0,0,0,1,0,
Chris Crisologo,0,0,0,0,1,0,
Zach Wright,0,0,0,0,1,0,
Jared Du Toit,0,0,0,0,0,1,
Cameron Champ,0,0,0,0,0,2,
Adam Svensson,0,0,0,0,0,1,
Joey Savoie,0,0,0,0,0,1,
Michael Gligic,0,0,0,0,0,1,
Mike Weir,0,0,0,0,0,4,
Will Claxton,0,0,0,0,0,4.5,
Russell Budd,0,0,0,0,0,1,
John Senden,0,0,0,0,3,3,
Sam Fidone,0,0,0,0,0,1,
Austin Connelly,0,0,0,0,0,3.5,
Zachary Bauchou(Am),0,0,0,0,0,1,
Marc-Etienne Bussieres,0,0,0,0,0,1,
Hugo Bernard,0,0,0,0,0,1,
Nyasha Mauchaza,0,0,0,0,0,1,
Todd Fanning,0,0,0,0,0,1,
Mitchell Sutton,0,0,0,0,0,1,
Justin YW Kim,0,0,0,0,0,1,
Erik van Rooyen,0,0,1,2.5,0,1,
Bernhard Langer,0,0,0,2,2,0,
Masahiro Kawamura,0,0,0,0,2,0,
Cameron Davis,0,0,0,0,2,2,
Tom Lewis,0,0,0,0,2,2,
Sean Crocker,0,0,0,0,2,0,
Lucas Herbert,0,0,0,0,2,2,
Shaun Norris,0,0,0,0,2,0,
Brett Rumford,0,0,0,0,3.5,2.5,
Lee Westwood,0,0,0,1,4,0,
Gavin Green,0,0,0,1,4,1,
Marcus Kinhult,0,0,0,0.5,2,1,
Matthew Southgate,0,0,0,1,3.5,2,
Zander Lombard,0,0,1,0,2,1.5,
Rhys Enoch,0,0,0,0,2,0,
Sam Locke,0,0,0,0,2,0,
Fabrizio Zanotti,0,0,0,0.5,0,4,
George Coetzee,0,0,0,1,0,3.5,
Tom Lehman,0,0,0,0,0,2,
Oliver Wilson,0,0,0,0,0,2,
Nicolai Hojgaard(Am),0,0,0,0,0,2,
Marcus Armitage,0,0,0,0,0,2,
Scott Jamieson,0,0,0,0,1,3.5,
Mark Calcavecchia,0,0,0,0,0,2,
